key,product_code,description,step_name,machine,start_time,end_time,duration_min,machine_group,machine_prefix,machine_num,log_duration
g4q9gE8PymbU2PD05ujX38,RM2-ACX-60,DAVIES ACREEX BLACK,Grind (Part A),BKM-5,4/3/2024 6:30:00,4/3/2024 8:30:00,120.0,BKM,BKM,5,4.795790545596741
DEcWoZ6LtbJslnoiAIcmJJ,RM2-ACX-60,DAVIES ACREEX BLACK,Grind (Part B),BKM-6,4/2/2024 11:30:00,4/2/2024 16:30:00,300.0,BKM,BKM,6,5.707110264748875
LvbJvIORJ3rLqgY8gMEq1P,RM2-ACX-60,DAVIES ACREEX BLACK,Grind (Part B),BKM-6,4/3/2024 6:30:00,4/3/2024 7:30:00,60.0,BKM,BKM,6,4.110873864173311
s9qIRo4PUlLimdLrWb05sX,RM2-ACX-60,DAVIES ACREEX BLACK,Grits Check,BKM-5,4/3/2024 8:30:00,4/3/2024 9:30:00,60.0,BKM,BKM,5,4.110873864173311
La6BGQiBPFK6hrHUriR8us,RM2-ACX-60,DAVIES ACREEX BLACK,Grits Check,BKM-6,4/3/2024 7:30:00,4/3/2024 8:30:00,60.0,BKM,BKM,6,4.110873864173311
FAbM7xuKq09XihSbYFEPVU,RM2-ACX-60,DAVIES ACREEX BLACK,PMWS Printing,BKM-5,4/11/2024 9:26:00,4/11/2024 9:27:00,1.0,BKM,BKM,5,0.6931471805599453
JUMNGRYuA4n7jUbagJsWp4,RM2-ACX-60,DAVIES ACREEX BLACK,SAP Posting - Std,BKM-5,4/16/2024 10:46:00,4/16/2024 10:48:00,2.0,BKM,BKM,5,1.0986122886681098
CPsWIpnFnrJKTLZtiQuuUs,RM2-ACX-60,DAVIES ACREEX BLACK,FG Transfer,BKM-5,4/16/2024 9:34:00,4/16/2024 13:06:00,212.0,BKM,BKM,5,5.3612921657094255
yK9bgGeOSBg0dsgPHy0tqb,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Premix,HSM-1,4/16/2024 12:55:00,4/16/2024 13:10:00,15.0,HSM,HSM,1,2.772588722239781
waoEbmgz9TZ74jopwJXmHL,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind,BKM-11,4/16/2024 13:30:00,4/16/2024 16:30:00,180.0,BKM,BKM,11,5.198497031265826
sEWAuUFkbnzaPA6m9qJsDy,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind,BKM-11,4/17/2024 6:30:00,4/17/2024 8:30:00,120.0,BKM,BKM,11,4.795790545596741
5GJXP4BqfedECb04B5pc9m,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grits Check,BKM-11,4/17/2024 8:30:00,4/17/2024 9:30:00,60.0,BKM,BKM,11,4.110873864173311
rjs7g9jOIvfRvT90LXpkuX,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Packing,BKM-11,5/10/2024 10:15:00,5/10/2024 15:00:00,285.0,BKM,BKM,11,5.655991810819852
T49PUtYzOCZW4ZFtaXhFGp,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind (Part A),BKM-11,5/9/2024 12:30:00,5/9/2024 15:30:00,180.0,BKM,BKM,11,5.198497031265826
2B1EGm36XYNQeTNM2RZN8x,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grits Check,BKM-11,5/9/2024 15:30:00,5/9/2024 16:30:00,60.0,BKM,BKM,11,4.110873864173311
c4VhXufqs5UxHcGnvn9eB2,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,PMWS Printing,BKM-11,5/20/2024 14:42:00,5/20/2024 14:43:00,1.0,BKM,BKM,11,0.6931471805599453
KTOQPOErPF3piB4Q8aPKbb,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,SAP Posting - Std,BKM-11,5/22/2024 15:50:00,5/22/2024 15:52:00,2.0,BKM,BKM,11,1.0986122886681098
Jv9FXne594YofL3aqnLRaL,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,FG Transfer,BKM-11,5/22/2024 11:00:00,5/22/2024 14:39:00,219.0,BKM,BKM,11,5.393627546352362
5fHXldYpGKImXgX5GlCjJw,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Packing,BKM-11,5/22/2024 8:20:00,5/22/2024 13:00:00,280.0,BKM,BKM,11,5.638354669333745
QdygO9Thy4zBfgpSbl21lg,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Grind (Part A),BKM-16,5/9/2024 13:00:00,5/9/2024 16:30:00,210.0,BKM,BKM,16,5.351858133476067
Y8ux2NKGy4ggTbDX7YP1yD,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Grind (Part A),BKM-16,5/10/2024 7:00:00,5/10/2024 12:30:00,330.0,BKM,BKM,16,5.802118375377063
zf5ScEK4fximq1szc8u94B,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Grits Check,BKM-16,5/10/2024 13:00:00,5/10/2024 14:30:00,90.0,BKM,BKM,16,4.51085950651685
zUnbGWUSEKQqE0RRf927yZ,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Premix,HSM-1,5/9/2024 11:40:00,5/9/2024 11:55:00,15.0,HSM,HSM,1,2.772588722239781
7BqpHpDol1QKugmCrvTlAA,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Grind (Part A),BKM-16,5/11/2024 8:00:00,5/11/2024 13:30:00,330.0,BKM,BKM,16,5.802118375377063
zUg5jZkN7T5Kb0qY0Rc09P,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Grind (Part A),BKM-16,5/12/2024 6:30:00,5/12/2024 8:00:00,90.0,BKM,BKM,16,4.51085950651685
lVpocqMALpNJZBYMCcXKgM,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Grits Check,BKM-16,5/12/2024 8:30:00,5/12/2024 9:00:00,30.0,BKM,BKM,16,3.4339872044851463
KHiGKrLe6lHACQu6aZL8g6,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,SAP Posting - Std,BKM-16,5/28/2024 7:28:00,5/28/2024 7:30:00,2.0,BKM,BKM,16,1.0986122886681098
qNR0kVAfTjViK9PAQfGTKa,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,FG Transfer,BKM-16,5/27/2024 12:38:00,5/27/2024 15:50:00,192.0,BKM,BKM,16,5.262690188904886
3vM7qWBzhx1suKsONDN9po,RM2-ACX-40,DAVIES ACREEX MARKING YELLOW,Packing,BKM-16,5/27/2024 8:20:00,5/27/2024 15:30:00,430.0,BKM,BKM,16,6.066108090103747
95mzzbZfT0N0KCigHuKgyi,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Premix,HSM-1,4/16/2024 13:15:00,4/16/2024 13:30:00,15.0,HSM,HSM,1,2.772588722239781
Byx0xeSdMdfHLZ03cKy7dL,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind,BKM-11,4/17/2024 12:30:00,4/17/2024 15:30:00,180.0,BKM,BKM,11,5.198497031265826
8UcKmVO6xxscDtQqyyuY6u,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind,BKM-11,4/18/2024 8:30:00,4/18/2024 11:30:00,180.0,BKM,BKM,11,5.198497031265826
uRdP5A1XVIMBrDOr75U7cI,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grits Check,BKM-11,4/18/2024 11:30:00,4/18/2024 13:30:00,120.0,BKM,BKM,11,4.795790545596741
2JPBGQep5smxJF53RcjpHw,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,PMWS Printing,BKM-11,5/13/2024 15:47:00,5/13/2024 15:48:00,1.0,BKM,BKM,11,0.6931471805599453
qURwrUc1O6pFtUO3ZkJpYv,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,SAP Posting - Std,BKM-11,5/16/2024 14:16:00,5/16/2024 14:18:00,2.0,BKM,BKM,11,1.0986122886681098
baGnc51isVnPSzhhg6vD5Y,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,FG Transfer,BKM-11,5/15/2024 16:35:00,5/16/2024 15:31:00,716.0,BKM,BKM,11,6.57507584059962
yGrZv3lSP2mu5a6cD5wbGB,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Packing,BKM-11,5/15/2024 15:35:00,5/16/2024 11:00:00,505.0,BKM,BKM,11,6.226536669287466
l8xwtUs0U4do2uqPi15dm6,RM2-ACX-21,DAVIES ACREEX CRYSTAL BLUE,Grind (Part A),BKM-11,6/3/2024 8:30:00,6/3/2024 12:30:00,240.0,BKM,BKM,11,5.484796933490655
